baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene
0.0770431801108533,-0.13243368776169318,0.9093426506669019,-0.14563672743664643,0.8842081727831095,0.9515231758406835,X.
4.704759704628946,0.07466013481270639,0.15255786771709143,0.48938895076298994,0.6245663571047727,0.7960336575629628,X..1
4.920059255292023,-0.00797976226996264,0.1262852199978097,-0.06318841009344595,0.9496164737423834,0.9821429392087708,X..2
94.41047464849157,0.005558654564874729,0.057535456183113017,0.09661267909623746,0.9230339871382601,0.970910960265284,X..3
1165.9583890046963,0.003164099051587696,0.049147594241750775,0.06437953068514188,0.9486680283569878,0.9816948843138128,X..4
0.0044516999212985825,0.0041387719536625,3.0569357891916105,0.0013538956128211562,0.9989197479236143,NA,X..5
164.62285968941654,-0.0520130308072575,0.12629842555978305,-0.4118264386648055,0.6804666413952729,0.8363865867106894,X..6
0.3492978503889551,0.18601000777488555,0.2681069066826745,0.6937904363465092,0.4878136410887486,0.6899068470810891,X..7
1.5857487670509705,-0.6397577322329386,0.5421384120865163,-1.180063463444173,0.2379749747785567,0.436978673615446,X..8
0.0021648004417503287,-0.016038467692773287,3.0569357891916105,-0.005246583114202268,0.9958138515413142,NA,X..9
3.494135816577326,-0.3982450864169954,0.5074138427695508,-0.7848526249171803,0.4325399813171073,0.6411049401983762,X..10
1.422007936658573,0.4018018977585296,0.18932055935209707,2.122336312197669,0.03380950622325836,0.11248495282167724,X..11
5.13462910683362,0.03445578860105828,0.08605122569976985,0.40041020125934634,0.6888544118226048,0.8417787886545754,X..12
1.0255956351394238,0.36776987830941793,0.3858494890055897,0.953143359752098,0.3405174396135682,0.5512858254870487,X..13
0.33695180333838504,-0.08746784538893033,0.3041945246528364,-0.28753918397694195,0.7736995035748242,0.8936911508463488,X..14
0.013699917078172228,0.023883514690393105,3.0569357891916105,0.007812893805240497,0.9937662760767828,NA,X..15
0.002338036395802764,0.014443640231732101,3.0569357891916105,0.00472487524363462,0.9962301090181774,NA,X..16
0,NA,NA,NA,NA,NA,X..17
134.1504696963275,0.06398257688284144,0.16418986398265087,0.38968652102423423,0.6967683648060609,0.8465936505700113,X..18
299.45917485920205,0.10621724062579009,0.12067632030362548,0.8801829585004259,0.37876020380017755,0.5902278009062006,X..19
5.083025811070944,0.29555059615872714,0.13057371421950265,2.263476978696401,0.023606302172928598,0.08677576416885982,X..20
3.911447768196419,0.3560536037701042,0.4484958358766504,0.7938838564111652,0.42726304865872733,0.6363485230350117,X..21
653.0057217430651,-0.35892945812636845,0.12557540239020593,-2.8582783833019407,0.0042594652532200825,0.0243416024908722,X..22
0.0023819739195061924,-0.016038467692772965,3.0569357891916105,-0.0052465831142021625,0.9958138515413142,NA,X..23
0.051337480514638906,-0.04955795845445779,1.7722366478031553,-0.02796351069474231,0.9776912540055107,NA,X..24
0.46585392079794646,0.1303264895683372,0.2991396303400298,0.4356710925269114,0.663075382139251,0.8248342915324773,X..25
0.6535071014072281,0.9891296250969692,0.4466315876374903,2.214643237235157,0.026784561807002217,0.09476806019904188,X..26
1004.6049724345532,-0.2026332892227205,0.06896919612985819,-2.938025968016124,0.003303093554691201,0.02006174020827015,X..27
97.90188191394678,-0.6157962919458801,0.17747149921432664,-3.4698320275201073,5.207839439813008e-4,0.004901183651439552,X..28
51530.72138446119,0.07784692638717616,0.16166242587740803,0.48154001132093055,0.6301327498604264,0.8008117746013823,A1BG
1701.1578123395404,0.021073444423785986,0.09513760122421658,0.22150489556827185,0.8246993251576656,0.9225992870818732,A1CF
0.40371333116442765,0.8207873462164821,0.5319058710845502,1.5431063856146308,0.12280496564976774,0.2787876399365738,A2BP1
302.3241272672285,0.017751702941658423,0.1063349885009774,0.16694131623003142,0.8674162236347078,0.9437262728063492,A2LD1
0.8460462279743728,0.1381982861234057,0.46856422204195713,0.2949399028401082,0.768039789001754,0.8903364858512918,A2ML1
89227.86935828414,0.2434674890552734,0.14964999251327507,1.6269128047813035,0.10375561803769659,0.24833458850578072,A2M
175.2768521479712,-0.01869301353126757,0.12203443454146327,-0.15317818779187525,0.8782577582851292,0.9493731800334686,A4GALT
7.089627403259096,1.9479995691842493,0.34768112844820714,5.602833774380239,2.1087543596490974e-8,1.2815805884174623e-6,A4GNT
4.1270498064137415,-0.2360199506745384,0.3379573330333903,-0.6983720357718042,0.4849445599735866,0.6873812644905836,AAA1
891.0363898967062,-0.03286082958646782,0.041468576968652616,-0.7924272301725795,0.4281116071369598,0.6370660773795286,AAAS
2.6788199460107522,1.1185449531237432,0.4956835487090884,2.2565706609323155,0.024034915367349897,0.08785416164313861,AACSL
410.8798120910116,0.14685556519373547,0.09372886704087698,1.5668125501793264,0.1171585130110469,0.2700835582109352,AACS
0.05941939333440893,6.66338510685799e-4,1.0360264969192836,6.431674408591049e-4,0.9994868266643077,0.9998569056817187,AADACL2
0.25849648041032913,1.2443745776926691,0.7752613933144232,1.605103244433052,0.10847108542128604,0.2562360098772356,AADACL3
0.16598873588624932,0.15646470525331466,0.6478087276652253,0.24152917145347955,0.8091450100476143,0.9146666823066852,AADACL4
8252.935751107892,-0.20115336127816325,0.1410971355055576,-1.42563745576706,0.15397301865893162,0.325881540692217,AADAC
359.89702790983307,0.6361454233745625,0.18167044196124474,3.5016451576105574,4.623950091999321e-4,0.004484468255807446,AADAT
737.2726432629149,-0.13200308917022965,0.041238590163408105,-3.200960281308522,0.0013697041137411801,0.010316415560645012,AAGAB
612.8778684843611,0.09448311761438329,0.06713853454771984,1.407285968495899,0.1593426083559398,0.3343625011577665,AAK1
