,Statistic,tumor_stage,value,MCCV
0,TP,i,2,0
1,FP,i,5,0
2,FN,i,6,0
3,TN,i,8,0
4,TP,ii,1,0
0,TP,i,2,1
1,FP,i,9,1
2,FN,i,7,1
3,TN,i,3,1
4,TP,ii,0,1
